date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:01	50323/50323	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eac-c493%22	http://bionick.kwst.net/site/index.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/index.html	(from )
23:45:01	3783/3783	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2018%20Apr%202018%2018:15:01%20GMT	http://bionick.kwst.net/robots.txt		(from )
23:45:02	1086/1086	---M--	200	added ('OK')	text/css	etag:%22551d128c-43e%22	http://bionick.kwst.net/site/css/reset.css	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/css/reset.css	(from http://bionick.kwst.net/site/index.html)
23:45:02	49922/49922	---MCZ	200	added ('OK')	text/css	etag:W/%225582588f-c302%22	http://bionick.kwst.net/site/css/plugins.css	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/css/plugins.css	(from http://bionick.kwst.net/site/index.html)
23:45:03	49662/49662	---MCZ	200	added ('OK')	text/css	etag:W/%22565ed035-c1fe%22	http://bionick.kwst.net/site/css/style.css	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/css/style.css	(from http://bionick.kwst.net/site/index.html)
23:45:03	2359/2359	---MCZ	200	added ('OK')	text/css	etag:W/%2255eed302-937%22	http://bionick.kwst.net/site/css/color.css	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/css/color.css	(from http://bionick.kwst.net/site/index.html)
23:45:03	318/318	---M--	200	added ('OK')	image/x-icon	etag:%22541fa3a4-13e%22	http://bionick.kwst.net/site/images/favicon.ico	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/favicon.ico	(from http://bionick.kwst.net/site/index.html)
23:45:03	1197/1197	---M--	200	added ('OK')	image/png	etag:%22551d2448-4ad%22	http://bionick.kwst.net/site/images/logo.png	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/logo.png	(from http://bionick.kwst.net/site/index.html)
23:45:04	25552/25552	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eb3-63d0%22	http://bionick.kwst.net/site/portfolio.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio.html	(from http://bionick.kwst.net/site/index.html)
23:45:04	13628/13628	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eab-353c%22	http://bionick.kwst.net/site/contact.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/contact.html	(from http://bionick.kwst.net/site/index.html)
23:45:04	23658/23658	---MCZ	200	added ('OK')	text/html	etag:W/%2255826ea8-5c6a%22	http://bionick.kwst.net/site/blog.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/blog.html	(from http://bionick.kwst.net/site/index.html)
23:45:05	27430/27430	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eb5-6b26%22	http://bionick.kwst.net/site/portfolio2.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio2.html	(from http://bionick.kwst.net/site/index.html)
23:45:05	25142/25142	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eb7-6236%22	http://bionick.kwst.net/site/portfolio3.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio3.html	(from http://bionick.kwst.net/site/index.html)
23:45:05	18278/18278	---MCZ	200	added ('OK')	text/html	etag:W/%2255826ebc-4766%22	http://bionick.kwst.net/site/portfolio-single2.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio-single2.html	(from http://bionick.kwst.net/site/index.html)
23:45:06	17311/17311	---MCZ	200	added ('OK')	text/html	etag:W/%2255826ebd-439f%22	http://bionick.kwst.net/site/portfolio-single3.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio-single3.html	(from http://bionick.kwst.net/site/index.html)
23:45:06	21662/21662	---MCZ	200	added ('OK')	text/html	etag:W/%2255826ebe-549e%22	http://bionick.kwst.net/site/portfolio-single4.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio-single4.html	(from http://bionick.kwst.net/site/index.html)
23:45:19	74000/74000	---M--	200	added ('OK')	image/jpeg	etag:%2255806c10-12110%22	http://bionick.kwst.net/site/images/about.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/about.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:25	139524/139524	---M--	200	added ('OK')	image/jpeg	etag:%22557d3eb4-22104%22	http://bionick.kwst.net/site/images/bg/2.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/bg/2.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:34	90762/90762	---M--	200	added ('OK')	image/jpeg	etag:%2255795968-1628a%22	http://bionick.kwst.net/site/images/services/1.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/services/1.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:39	77897/77897	---M--	200	added ('OK')	image/jpeg	etag:%2254f41ee2-13049%22	http://bionick.kwst.net/site/images/services/2.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/services/2.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:40	36789/36789	---M--	200	added ('OK')	image/jpeg	etag:%2254d68782-8fb5%22	http://bionick.kwst.net/site/images/services/4.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/services/4.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:47	38374/38374	---M--	200	added ('OK')	image/jpeg	etag:%225580615a-95e6%22	http://bionick.kwst.net/site/images/testimonials/1.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/testimonials/1.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:47	258086/258086	---M--	200	added ('OK')	image/jpeg	etag:%22557d366c-3f026%22	http://bionick.kwst.net/site/images/bg/3.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/bg/3.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:52	81857/81857	---M--	200	added ('OK')	image/jpeg	etag:%22557966e8-13fc1%22	http://bionick.kwst.net/site/images/services/3.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/services/3.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:54	41026/41026	---M--	200	added ('OK')	image/jpeg	etag:%2255806178-a042%22	http://bionick.kwst.net/site/images/testimonials/2.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/testimonials/2.jpg	(from http://bionick.kwst.net/site/index.html)
23:45:59	84347/84347	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255824f35-1497b%22	http://bionick.kwst.net/site/js/jquery.min.js	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/js/jquery.min.js	(from http://bionick.kwst.net/site/index.html)
23:46:00	351737/351737	---M--	200	added ('OK')	image/jpeg	etag:%22557d35d6-55df9%22	http://bionick.kwst.net/site/images/bg/1.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/bg/1.jpg	(from http://bionick.kwst.net/site/index.html)
23:46:00	84203/84203	---M--	200	added ('OK')	image/jpeg	etag:%22558061f6-148eb%22	http://bionick.kwst.net/site/images/testimonials/3.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/testimonials/3.jpg	(from http://bionick.kwst.net/site/index.html)
23:46:00	14685/14685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22577f90c6-395d%22	http://bionick.kwst.net/site/js/scripts.js	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/js/scripts.js	(from http://bionick.kwst.net/site/index.html)
